"","country","date","update","cases","new_cases","deaths","new_deaths","cases_per_million","new_cases_per_million","deaths_per_million","new_deaths_per_million","weeks_since_case100","weeks_since_death10"
"32","Afghanistan",2021-02-08,56,55359,300,2413,9,1422.1,7.7,62,0.2,45,44
"67","Albania",2021-02-08,56,86289,7297,1472,79,29982.3,2535.4,511.5,27.4,46,45
"131","Algeria",2021-02-08,56,109313,1735,2918,24,2492.8,39.6,66.5,0.5,46,46
"170","Andorra",2021-02-08,56,10275,303,106,5,133441.6,3935.1,1376.6,64.9,46,44
"238","Angola",2021-02-08,56,20112,283,475,9,611.9,8.6,14.5,0.3,34,33
"248","Antigua and Barbuda",2021-02-08,56,316,82,7,0,3224.5,836.7,71.4,0,19,0
"312","Argentina",2021-02-08,56,1985501,51648,49398,1149,43930.9,1142.8,1093,25.4,46,45
"362","Armenia",2021-02-08,56,168177,1089,3123,39,56759,367.5,1054,13.2,46,43
"399","Australia",2021-02-08,56,28860,37,909,0,1131.8,1.5,35.6,0,47,45
"456","Austria",2021-02-08,56,424896,9374,8032,254,47179.2,1040.9,891.8,28.2,48,46
"516","Azerbaijan",2021-02-08,56,231198,902,3161,25,22802.8,89,311.8,2.5,45,43
"590","Bahrain",2021-02-08,56,108048,4466,383,7,63483,2624,225,4.1,47,38
"634","Bangladesh",2021-02-08,56,538378,2796,8221,84,3269.1,17,49.9,0.5,44,44
"670","Barbados",2021-02-08,56,1732,174,18,4,6034.8,606.3,62.7,13.9,30,2
"703","Belarus",2021-02-08,56,259499,10204,1792,64,27463.1,1079.9,189.6,6.8,45,44
"781","Belgium",2021-02-08,56,726483,15066,21423,299,62681.9,1299.9,1848.4,25.8,48,46
"803","Belize",2021-02-08,56,12070,125,307,5,30326.6,314.1,771.4,12.6,26,24
"886","Benin",2021-02-08,56,4193,300,55,3,345.9,24.7,4.5,0.2,39,33
"938","Bhutan",2021-02-08,56,861,2,1,0,1115.3,2.6,1.3,0,27,0
"962","Bolivia",2021-02-08,56,229187,10888,10864,425,19633.9,932.8,930.7,36.4,44,44
"1039","Bosnia and Herzegovina",2021-02-08,56,124101,1902,4813,89,37824.1,579.7,1466.9,27.1,46,45
"1066","Botswana",2021-02-08,56,24435,1697,179,31,10389,721.5,76.1,13.2,32,21
"1109","Brazil",2021-02-08,56,9524640,295318,231534,6435,44809.4,1389.3,1089.3,30.3,47,46
"1172","Brunei",2021-02-08,56,182,2,3,0,416.5,4.6,6.9,0,45,0
"1202","Bulgaria",2021-02-08,56,224849,5269,9420,278,32361.7,758.3,1355.8,40,46,44
"1248","Burkina Faso",2021-02-08,56,11309,541,134,13,541,25.9,6.4,0.6,45,45
"1313","Burma",2021-02-08,56,141427,1073,3177,39,2599.3,19.7,58.4,0.7,42,21
"1372","Burundi",2021-02-08,56,1728,93,3,1,145.3,7.8,0.3,0.1,33,0
"1389","Cambodia",2021-02-08,56,476,10,0,0,28.5,0.6,0,0,45,0
"1474","Cameroon",2021-02-08,56,31394,1777,474,12,1182.6,66.9,17.9,0.5,45,43
"1478","Canada",2021-02-08,56,812791,24607,20830,685,21535.5,652,551.9,18.1,47,46
"1558","Cape Verde",2021-02-08,56,14451,353,136,2,25991,634.9,244.6,3.6,41,32
"1620","Central African Republic",2021-02-08,56,4989,0,63,0,1032.9,0,13,0,39,33
"1654","Chad",2021-02-08,56,3508,123,125,4,213.6,7.5,7.6,0.2,40,40
"1725","Chile",2021-02-08,56,755350,24462,19056,519,39514,1279.7,996.9,27.2,47,44
"1764","Colombia",2021-02-08,56,2161462,56956,56290,2018,42479.1,1119.4,1106.3,39.7,46,45
"1784","Comoros",2021-02-08,56,3088,277,112,14,3549.4,318.4,128.7,16.1,36,5
"1830","Costa Rica",2021-02-08,56,197435,2866,2692,58,38758.3,562.6,528.5,11.4,46,38
"1872","Cote d'Ivoire",2021-02-08,56,29967,1492,165,9,1136.1,56.6,6.3,0.3,45,41
"1913","Croatia",2021-02-08,56,235473,2953,5198,144,57362.5,719.4,1266.3,35.1,46,44
"2007","Cuba",2021-02-08,56,33484,5892,240,24,2956.1,520.2,21.2,2.1,45,43
"2023","Cyprus",2021-02-08,56,31864,868,214,12,26399.3,719.1,177.3,9.9,46,43
"2073","Czech Republic",2021-02-08,56,1037405,50076,17333,941,96872.3,4676.1,1618.5,87.9,47,45
"2154","Democratic Republic of the Congo",2021-02-08,56,23671,829,681,8,264.3,9.3,7.6,0.1,44,44
"2169","Denmark",2021-02-08,56,202737,3093,2217,71,35002.9,534,382.8,12.3,47,46
"2216","Diamond Princess Cruise Ship",2021-02-08,56,712,0,13,0,NA,NA,NA,NA,52,45
"2300","Djibouti",2021-02-08,56,5950,18,63,0,6022.3,18.2,63.8,0,43,37
"2351","Dominica",2021-02-08,56,121,4,0,0,1680.6,55.6,0,0,4,0
"2366","Dominican Republic",2021-02-08,56,224119,9033,2843,155,20659.9,832.7,262.1,14.3,46,45
"2415","Ecuador",2021-02-08,56,258607,7621,15013,123,14657.8,432,850.9,7,46,46
"2503","Egypt",2021-02-08,56,170207,3715,9699,339,1663.2,36.3,94.8,3.3,47,46
"2518","El Salvador",2021-02-08,56,56653,1458,1692,60,8734.7,224.8,260.9,9.3,43,40
"2582","Equatorial Guinea",2021-02-08,56,5614,80,87,1,4001.4,57,62,0.7,41,37
"2632","Eritrea",2021-02-08,56,2326,191,7,0,656,53.9,2,0,34,0
"2650","Estonia",2021-02-08,56,48267,3692,466,44,36373,2782.2,351.2,33.2,47,44
"2716","Eswatini",2021-02-08,56,16234,430,607,33,13994.8,370.7,523.3,28.4,40,32
"2775","Ethiopia",2021-02-08,56,142994,4610,2156,53,1243.8,40.1,18.8,0.5,42,36
"2829","Fiji",2021-02-08,56,56,1,2,0,62.5,1.1,2.2,0,0,0
"2843","Finland",2021-02-08,56,47969,2487,688,11,8657.1,448.8,124.2,2,47,45
"2904","France",2021-02-08,56,3400324,140016,79571,2914,52093.1,2145.1,1219,44.6,49,48
"2968","Gabon",2021-02-08,56,11836,884,71,3,5317.2,397.1,31.9,1.3,42,38
"3007","Georgia",2021-02-08,56,262228,3877,3298,104,65737.8,971.9,826.8,26.1,45,39
"3093","Germany",2021-02-08,56,2296323,63996,62191,4132,27407.7,763.8,742.3,49.3,49,47
"3119","Ghana",2021-02-08,56,72328,5318,472,56,2327.7,171.1,15.2,1.8,45,41
"3180","Greece",2021-02-08,56,164575,7080,5997,168,15789.6,679.3,575.4,16.1,47,46
"3205","Grenada",2021-02-08,56,148,0,1,0,1309.7,0,8.8,0,7,0
"3270","Guatemala",2021-02-08,56,163247,3615,5922,249,9111.8,201.8,330.5,13.9,43,41
"3303","Guinea",2021-02-08,56,14764,209,84,1,1124.2,15.9,6.4,0.1,44,39
"3386","Guinea-Bissau",2021-02-08,56,2780,146,46,1,1412.6,74.2,23.4,0.5,40,35
"3399","Guyana",2021-02-08,56,8023,369,181,4,10194.4,468.9,230,5.1,39,39
"3458","Haiti",2021-02-08,56,11806,273,246,1,1035.3,23.9,21.6,0.1,39,39
"3533","Holy See (Vatican City)",2021-02-08,56,27,0,0,0,27000,0,0,0,0,0
"3582","Honduras",2021-02-08,56,155735,7892,3742,132,15722.9,796.8,377.8,13.3,45,44
"3636","Hong Kong",2021-02-08,56,10667,181,186,4,1422.8,24.1,24.8,0.5,49,29
"3684","Hungary",2021-02-08,56,377655,8945,13155,577,39094.7,926,1361.8,59.7,46,45
"3700","Iceland",2021-02-08,56,6020,11,29,0,17654,32.3,85,0,47,42
"3782","India",2021-02-08,56,10847304,81059,155158,672,7860.3,58.7,112.4,0.5,47,46
"3804","Indonesia",2021-02-08,56,1166079,76771,31763,1486,4263.2,280.7,116.1,5.4,47,46
"3890","Iran (Islamic Republic of)",2021-02-08,56,1473756,49160,58536,498,17546.2,585.3,696.9,5.9,49,50
"3916","Iraq",2021-02-08,56,630263,9643,13126,69,15669.2,239.7,326.3,1.7,47,47
"3943","Ireland",2021-02-08,56,204397,6844,3687,370,41392.7,1386,746.7,74.9,47,45
"4016","Israel",2021-02-08,56,696528,44282,5171,355,80467.7,5115.8,597.4,41,47,45
"4091","Italy",2021-02-08,56,2644707,83750,91580,2735,43741.6,1385.2,1514.7,45.2,50,49
"4117","Jamaica",2021-02-08,56,17298,1520,358,6,5841.9,513.3,120.9,2,42,35
"4200","Japan",2021-02-08,56,406992,15036,6507,674,3217.9,118.9,51.4,5.3,50,48
"4243","Jordan",2021-02-08,56,336839,8777,4385,59,33013.7,860.2,429.8,5.8,46,31
"4283","Kazakhstan",2021-02-08,56,245351,8322,3124,78,13066.6,443.2,166.4,4.2,45,43
"4310","Kenya",2021-02-08,56,101944,1088,1786,20,1895.9,20.2,33.2,0.4,44,42
"4376","Kosovo",2021-02-08,56,62548,2330,1526,28,34748.9,1294.4,847.8,15.6,44,42
"4399","Kuwait",2021-02-08,56,171994,6151,969,10,40270.2,1440.2,226.9,2.3,47,41
"4454","Kyrgyzstan",2021-02-08,56,85113,525,1431,19,13046.1,80.5,219.3,2.9,44,40
"4532","Lao People's Democratic Republic",2021-02-08,56,45,1,0,0,6.2,0.1,0,0,0,0
"4581","Latvia",2021-02-08,56,72088,5436,1347,145,38222.7,2882.3,714.2,76.9,46,41
"4610","Lebanon",2021-02-08,56,321980,18908,3677,532,47176.6,2770.4,538.8,77.9,47,45
"4666","Lesotho",2021-02-08,56,9380,480,183,11,4379.1,224.1,85.4,5.1,30,28
"4690","Liberia",2021-02-08,56,1956,12,84,0,386.7,2.4,16.6,0,41,41
"4755","Libya",2021-02-08,56,124882,5480,1974,91,18175.2,797.6,287.3,13.2,36,34
"4787","Liechtenstein",2021-02-08,56,2526,29,52,0,66473.7,763.2,1368.4,0,24,11
"4828","Lithuania",2021-02-08,56,187039,4141,2955,125,68713.8,1521.3,1085.6,45.9,46,44
"4879","Luxembourg",2021-02-08,56,51879,1146,597,13,82873.8,1830.7,953.7,20.8,46,45
"4929","Macao",2021-02-08,56,48,1,0,0,74,1.5,0,0,0,0
"4997","Madagascar",2021-02-08,56,19360,295,285,4,699.1,10.7,10.3,0.1,43,34
"5064","Mainland China",2021-02-08,56,89720,126,4636,0,62.3,0.1,3.2,0,55,55
"5092","Malawi",2021-02-08,56,27422,3057,874,162,1433.5,159.8,45.7,8.5,37,33
"5166","Malaysia",2021-02-08,56,245552,26379,896,126,7586.7,815,27.7,3.9,48,46
"5227","Maldives",2021-02-08,56,16909,853,55,3,31255.1,1576.7,101.7,5.5,41,31
"5238","Mali",2021-02-08,56,8181,81,339,9,404,4,16.7,0.4,43,43
"5312","Malta",2021-02-08,56,18813,786,282,13,42563.3,1778.3,638,29.4,46,24
"5334","Marshall Islands",2021-02-08,56,4,0,0,0,67.8,0,0,0,0,0
"5352","Mauritania",2021-02-08,56,16827,165,427,5,3618.7,35.5,91.8,1.1,37,36
"5405","Mauritius",2021-02-08,56,593,11,10,0,466.2,8.6,7.9,0,45,41
"5453","Mexico",2021-02-08,56,1936013,66305,166731,7631,15015.7,514.3,1293.2,59.2,46,45
"5486","Micronesia, Federated States of",2021-02-08,56,1,0,0,0,8.7,0,0,0,0,0
"5499","Moldova, Republic of",2021-02-08,56,164858,4772,3557,111,40867.1,1182.9,881.8,27.5,46,44
"5579","Monaco",2021-02-08,56,1665,166,19,5,42692.3,4256.4,487.2,128.2,33,1
"5594","Mongolia",2021-02-08,56,2120,288,2,0,646.7,87.9,0.6,0,38,0
"5636","Montenegro",2021-02-08,56,65657,3685,842,31,104549.4,5867.8,1340.8,49.4,44,32
"5687","Morocco",2021-02-08,56,475589,4151,8408,121,12884.7,112.5,227.8,3.3,46,45
"5747","Mozambique",2021-02-08,56,44912,5452,465,79,1437,174.4,14.9,2.5,39,29
"5820","MS Zaandam Cruise Ship",2021-02-08,56,9,0,2,0,NA,NA,NA,NA,0,0
"5862","Namibia",2021-02-08,56,35070,902,375,22,13801.7,355,147.6,8.7,32,27
"5894","Nepal",2021-02-08,56,272055,937,2045,16,9337.1,32.2,70.2,0.5,39,35
"5944","Netherlands",2021-02-08,56,1021966,26666,14543,408,59642,1556.2,848.7,23.8,48,47
"5989","New Zealand",2021-02-08,56,2322,15,25,0,481.5,3.1,5.2,0,46,42
"6028","Nicaragua",2021-02-08,56,6299,46,170,1,950.8,6.9,25.7,0.2,37,37
"6116","Niger",2021-02-08,56,4621,84,166,5,190.9,3.5,6.9,0.2,44,44
"6160","Nigeria",2021-02-08,56,140391,8473,1673,66,681,41.1,8.1,0.3,45,43
"6189","North Macedonia",2021-02-08,56,94871,2118,2946,80,45545.4,1016.8,1414.3,38.4,46,44
"6255","Norway",2021-02-08,56,65118,1856,582,15,12012.2,342.4,107.4,2.8,48,46
"6273","Oman",2021-02-08,56,135990,1466,1535,3,26628.2,287.1,300.6,0.6,45,41
"6353","Pakistan",2021-02-08,56,556519,8871,12066,320,2519.4,40.2,54.6,1.4,47,45
"6393","Panama",2021-02-08,56,327654,6551,5506,210,75933.7,1518.2,1276,48.7,46,45
"6426","Papua New Guinea",2021-02-08,56,900,33,9,0,100.6,3.7,1,0,27,0
"6470","Paraguay",2021-02-08,56,138945,5164,2846,113,19479.2,724,399,15.8,44,40
"6530","Peru",2021-02-08,56,1186698,48459,42308,1282,35991.1,1469.7,1283.1,38.9,46,45
"6599","Philippines",2021-02-08,56,538995,11723,11231,424,4918.7,107,102.5,3.9,47,47
"6652","Poland",2021-02-08,56,1552686,36797,39132,1910,41025.3,972.3,1034,50.5,47,45
"6714","Portugal",2021-02-08,56,767919,41598,14354,1597,75308.3,4079.4,1407.7,156.6,47,46
"6731","Qatar",2021-02-08,56,154525,2805,251,2,53635.9,973.6,87.1,0.7,47,41
"6809","Republic of Korea",2021-02-08,56,81487,2643,1482,47,1589.4,51.6,28.9,0.9,50,49
"6836","Republic of the Congo",2021-02-08,56,8060,173,122,5,1460.7,31.4,22.1,0.9,42,40
"6873","Romania",2021-02-08,56,746637,16581,18961,559,38810.5,861.9,985.6,29.1,47,45
"6938","Russia",2021-02-08,56,3939162,113423,75828,3372,26992.8,777.2,519.6,23.1,46,44
"6983","Rwanda",2021-02-08,56,16621,1162,223,25,1283.3,89.7,17.2,1.9,44,24
"7037","Saint Kitts and Nevis",2021-02-08,56,40,2,0,0,754.7,37.7,0,0,0,0
"7088","Saint Lucia",2021-02-08,56,2027,616,19,4,11016.3,3347.8,103.3,21.7,13,2
"7153","Saint Vincent and the Grenadines",2021-02-08,56,1283,382,4,2,11558.6,3441.4,36,18,7,0
"7178","Samoa",2021-02-08,56,2,0,0,0,10.1,0,0,0,0,0
"7210","San Marino",2021-02-08,56,3137,112,69,2,92264.7,3294.1,2029.4,58.8,47,46
"7266","Sao Tome and Principe",2021-02-08,56,1355,96,18,1,6187.2,438.4,82.2,4.6,39,37
"7304","Saudi Arabia",2021-02-08,56,370634,2305,6406,27,10646.1,66.2,184,0.8,47,44
"7325","Senegal",2021-02-08,56,29057,2130,689,51,1735.4,127.2,41.1,3,45,40
"7377","Serbia",2021-02-08,56,409841,12839,4139,101,46908.7,1469.5,473.7,11.6,46,45
"7468","Seychelles",2021-02-08,56,1575,352,7,2,16071.4,3591.8,71.4,20.4,30,0
"7487","Sierra Leone",2021-02-08,56,3789,155,79,0,475,19.4,9.9,0,40,39
"7567","Singapore",2021-02-08,56,59721,156,29,0,10208.7,26.7,5,0,49,42
"7589","Slovakia",2021-02-08,56,264083,13726,5271,560,48366.8,2513.9,965.4,102.6,46,42
"7651","Slovenia",2021-02-08,56,174000,7164,3635,113,83694.1,3445.9,1748.4,54.4,47,45
"7681","Solomon Islands",2021-02-08,56,17,0,0,0,24.7,0,0,0,0,0
"7701","Somalia",2021-02-08,56,4862,78,134,4,305.9,4.9,8.4,0.3,42,41
"7758","South Africa",2021-02-08,56,1477511,21202,46473,2074,24912.1,357.5,783.6,35,46,44
"7791","South Sudan",2021-02-08,56,4609,680,66,2,411.7,60.7,5.9,0.2,39,36
"7876","Spain",2021-02-08,56,2989085,166280,62295,3214,63930.8,3556.4,1332.4,68.7,49,48
"7930","Sri Lanka",2021-02-08,56,70235,5252,365,42,3280,245.3,17,2,45,37
"7957","Sudan",2021-02-08,56,29765,316,1835,23,678.8,7.2,41.8,0.5,41,42
"7995","Suriname",2021-02-08,56,8690,241,162,6,14804.1,410.6,276,10.2,35,32
"8035","Sweden",2021-02-08,56,588062,21105,12115,524,58229.7,2089.8,1199.6,51.9,48,46
"8088","Switzerland",2021-02-08,56,535153,10058,9651,199,61831.7,1162.1,1115.1,23,48,47
"8142","Syria",2021-02-08,56,14551,455,958,32,831.4,26,54.7,1.8,37,31
"8188","Taiwan",2021-02-08,56,928,16,9,1,39,0.7,0.4,0,46,0
"8275","Tajikistan",2021-02-08,56,13308,0,90,0,1395.3,0,9.4,0,40,39
"8307","Tanzania, United Republic of",2021-02-08,56,509,0,21,0,8.5,0,0.4,0,42,42
"8346","Thailand",2021-02-08,56,23557,3103,79,0,337.5,44.5,1.1,0,47,44
"8390","The Bahamas",2021-02-08,56,8289,115,176,0,21091.6,292.6,447.8,0,37,41
"8470","The Gambia",2021-02-08,56,4302,163,135,4,1779.9,67.4,55.9,1.7,29,26
"8514","Timor-Leste",2021-02-08,56,80,10,0,0,60.7,7.6,0,0,0,0
"8553","Togo",2021-02-08,56,5496,404,80,1,663.8,48.8,9.7,0.1,40,39
"8597","Trinidad and Tobago",2021-02-08,56,7616,50,135,1,5443.9,35.7,96.5,0.7,44,25
"8662","Tunisia",2021-02-08,56,217753,7708,7257,455,18424,652.2,614,38.5,45,44
"8682","Turkey",2021-02-08,56,2539559,54377,26900,783,30111.3,644.7,319,9.3,46,46
"8761","Uganda",2021-02-08,56,39860,254,327,2,871.4,5.6,7.1,0,39,25
"8785","UK",2021-02-08,56,3971315,124464,113014,6240,58499.8,1833.4,1664.8,91.9,49,47
"8833","Ukraine",2021-02-08,56,1291025,27192,24884,953,29519.9,621.8,569,21.8,45,45
"8881","United Arab Emirates",2021-02-08,56,329293,22954,930,71,33295.6,2320.9,94,7.2,46,44
"8955","Uruguay",2021-02-08,56,45650,3522,497,53,13140.5,1013.8,143.1,15.3,46,42
"9003","USA",2021-02-08,56,27097095,775975,465072,20375,81863.6,2344.3,1405,61.6,48,48
"9038","Uzbekistan",2021-02-08,56,79162,407,621,0,2365.2,12.2,18.6,0,45,40
"9088","Vanuatu",2021-02-08,56,1,0,0,0,3.3,0,0,0,0,0
"9095","Venezuela",2021-02-08,56,130596,3250,1240,44,4592.6,114.3,43.6,1.5,45,41
"9143","Vietnam",2021-02-08,56,2050,200,35,0,21.1,2.1,0.4,0,46,26
"9214","West Bank and Gaza",2021-02-08,56,163213,3770,1888,48,34002.7,785.4,393.3,10,45,31
"9256","Yemen",2021-02-08,56,2131,9,615,0,71.4,0.3,20.6,0,38,38
"9324","Zambia",2021-02-08,56,63573,8531,869,89,3458.1,464,47.3,4.8,40,35
"9369","Zimbabwe",2021-02-08,56,34658,1110,1339,105,2331.8,74.7,90.1,7.1,36,30
